step,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
0,0.07289683843892122,0.7741458829251187,1.0378727574596593,6.625,1.0,2.101422524449978
1,0.13011990211408136,0.7745115165435353,1.0356809635181787,6.625,1.0,2.101422524449978
2,0.18809058416987556,0.7754913009222292,1.0324833660014803,6.625,1.0,2.101422524449978
3,0.24470396122070878,0.7770206332539585,1.0283119723947332,6.625,1.0,2.101422524449978
4,0.29969594983723624,0.7790405742332313,1.0231988214361867,6.625,1.0,2.101422524449978
5,0.3530963489663095,0.7814971691347438,1.0171758877796089,6.625,1.0,2.101422524449978
6,0.40500572238845406,0.7843408555581335,1.0102750277896615,6.625,1.0,2.101422524449978
7,0.45553700295259125,0.7875259462710308,1.0025279554146072,6.625,1.0,2.101422524449978
8,0.504797541905652,0.7910101772741854,0.993966239704049,6.625,1.0,2.101422524449978
9,0.5528835175571203,0.7947543126795037,0.9846213175222497,6.625,1.0,2.101422524449978
10,0.5998786110798697,0.7987217992576343,1.016064718315742,6.75,1.0,2.1140251222036235
11,0.6458546356507908,0.8028784645962964,1.004897777604184,6.75,1.0,2.1140251222036235
12,0.6908728773852699,0.8071922537560864,0.9930149752033858,6.75,1.0,2.1140251222036235
13,0.734984380044418,0.8116330000953746,0.9804482240843434,6.75,1.0,2.1140251222036235
14,0.7782308664636322,0.8161722265150306,0.9672294031127109,6.75,1.0,2.1140251222036235
15,0.8206456174314427,0.8207829739776623,0.9533903899329003,6.75,1.0,2.1140251222036235
16,0.862254265322355,0.8254396546175751,0.9805066446653582,6.875,1.0,2.1643052629201702
17,0.9030756712778742,0.8301179271364238,0.9651807979121068,6.875,1.0,2.1643052629201702
18,0.9431235008010337,0.834794592503208,0.9899730950823523,7.0,1.0,2.4167200457588023
19,0.9824060660697506,0.8394475011275235,0.9734408523981407,7.0,1.0,2.4167200457588023
20,1.0209269005223476,0.8440554492048943,0.9963047023576399,7.125,1.0,2.531361321557037
21,1.0586850370429115,0.8458091892600635,0.9784054568160784,7.125,1.0,2.531361321557037
22,1.0956770844314159,0.8417657017960116,0.9600433990969867,7.125,1.0,2.531361321557037
23,1.1318966905903003,0.8376306515724546,0.9806588950103294,7.25,1.0,2.726761800500714
24,1.1673340816912665,0.8334139823247485,0.9614900526983007,7.25,1.0,2.726761800500714
25,1.2019763003951436,0.8291256574377243,0.9799727913526209,7.375,1.0,2.8963143974386765
26,1.235809325585909,0.8247756285195029,0.9592771242547534,7.375,1.0,2.8963143974386765
27,1.2688199144993608,0.8203737982516621,1.0115807963202057,7.625,1.0,3.0759154901570986
28,1.3009979968726155,0.8159299777956179,1.0587500992954058,7.875,1.0,3.078473784335957
29,1.332340590959745,0.8114538393093751,1.0672652158984253,8.0,1.0,3.239435665135308
30,1.3615910615347018,0.8069547460638546,1.0748819589277698,8.125,1.0,3.3071279165661
31,1.3894122769035433,0.8024415761691848,1.0481046981757225,8.125,1.0,3.3071279165661
32,1.4149875840271704,0.7979227068029767,1.021190120818207,8.125,1.0,3.3071279165661
33,1.4393360123197936,0.79340592736335,1.0601139703232636,8.375,1.0,3.587711363926979
34,1.4628725298804273,0.7888984378235911,1.0313409769576318,8.375,1.0,3.587711363926979
35,1.485128878385128,0.7844068385262266,1.0349520785365285,8.5,1.0,3.6168277051750297
36,1.5055611894290175,0.7799373841413522,1.0376103392886469,8.625,1.0,3.625123323486084
37,1.525210134800717,0.7754962735056904,1.0080536466759686,8.625,1.0,3.625123323486084
38,1.544071766026192,0.7710889598432505,0.9786065984427988,8.625,1.0,3.625123323486084
39,1.5621364550365655,0.7667201469167919,0.9493035573884429,8.625,1.0,3.625123323486084
40,1.5793889393192535,0.7623937900500923,0.952083181454321,8.75,1.0,3.7428785929930712
41,1.5958121735291342,0.7581131026983687,0.9221479388245973,8.75,1.0,3.7428785929930712
42,1.6113897948030436,0.7538805687519575,0.9249873548079373,8.875,1.0,3.85564212916822
43,1.6261010258636972,0.7496979683435562,0.8945671631920914,8.875,1.0,3.85564212916822
44,1.6399283956225572,0.7455664730386663,0.8968331989594149,9.0,1.0,4.162271684987173
45,1.6528507445424823,0.7414866551167546,0.9298985616227824,9.25,1.0,4.269656578582048
46,1.6648431558755048,0.7374585020791432,0.8978213401269702,9.25,1.0,4.269656578582048
47,1.6758903822658509,0.7334814425578238,0.9269628638240278,9.5,1.0,4.632432798079739
48,1.6859834646873593,0.7295545715689618,0.9233776236646664,9.625,1.0,4.751192193181646
49,1.6951233949295412,0.725676346876012,0.920101835038638,9.75,1.0,4.959104127594197
50,1.7033120792414582,0.7218444178592973,0.9159464832678446,9.875,1.0,5.002481094961114
51,1.7104159776537047,0.7180557162747485,0.9391640960687483,10.125,1.0,5.116402257071276
52,1.7147357381738582,0.7143063046223452,0.9312925606671366,10.25,1.0,5.22111166247168
53,1.7180280693489591,0.710591335093878,0.950599131810622,10.5,1.0,5.445872911957302
54,1.7203222232090165,0.7069054839651142,0.9141823526198463,10.5,1.0,5.445872911957302
55,1.721654188284003,0.7032437116005451,0.9051822550406639,10.625,1.0,5.570600530617586
56,1.7220538601491975,0.6996012498229487,0.9226081777804471,10.875,1.0,5.6562438013416045
57,1.721545096393447,0.6959736021948483,0.9122525407179062,11.0,1.0,5.882877144809429
58,1.7200964940877443,0.6923568661344741,0.9515586225070372,11.375,1.0,6.220811108040326
59,1.7171779160585212,0.6887469848258638,0.9631951693416154,11.625,1.0,6.355948878151619
60,1.7131126515614024,0.684835127773331,0.9484111793379852,11.75,1.0,6.40558506564206
61,1.7081843264332015,0.6789149083912173,0.9346334645502654,11.875,1.0,6.472916308822107
62,1.7024529653084186,0.6730869544267049,0.8965967247302434,11.875,1.0,6.472916308822107
63,1.6959683304654518,0.6673534702450167,0.8596544452391454,11.875,1.0,6.472916308822107
64,1.6887702108615819,0.6617138306678761,0.8484645220896835,12.0,1.0,6.503138821678984
65,1.6808873575410765,0.6561651158747952,0.8128023503475603,12.0,1.0,6.503138821678984
66,1.672344346242042,0.6507025983162329,0.850625226848541,12.375,1.0,7.225953458275024
67,1.6629798683213473,0.6453206137989334,0.8390726073592754,12.5,1.0,7.5827340235124625
68,1.652829218651825,0.640014031148548,0.827317787728424,12.625,1.0,7.589969855476557
69,1.6419278200593492,0.63477824373758,0.7923437800122353,12.625,1.0,7.589969855476557
70,1.6303150857851163,0.6296083757056745,0.7824427028571929,12.75,1.0,7.6009929574528226
71,1.6178711656391602,0.6244992348312577,0.7489818128688753,12.75,1.0,7.6009929574528226
72,1.6046285916062604,0.6194454510414857,0.7629819707111577,13.0,1.0,7.739235537543542
73,1.5906292120703025,0.6144416207109179,0.7758485543321308,13.25,1.0,7.880184720235396
74,1.5759276232928576,0.6086610259871558,0.7654440426331577,13.375,1.0,8.668626167293318
75,1.560582397042441,0.6021753963361176,0.7329210378207278,13.375,1.0,8.668626167293318
76,1.5446451013287001,0.5957295595004497,0.7249041473920825,13.5,1.0,8.739865603697188
77,1.5281589946134098,0.5893228543037805,0.6940029070706686,13.5,1.0,8.739865603697188
78,1.5111682466818293,0.5829547955859201,0.6878397152476631,13.625,1.0,9.434212114501154
79,1.4937137561453184,0.5766251454858521,0.6585875841086233,13.625,1.0,9.434212114501154
80,1.4758323265745632,0.5703339637561489,0.630525893428951,13.625,1.0,9.434212114501154
