step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
0,15.252424729125725,14.999907468730433,0.10323818530422949,0.754723998449777,0.9344897187935409,7.5,1.0,0.9242617008597881
1,15.252156046136719,14.999750836784237,0.17455317691421185,0.7543433045600998,0.9315187033277882,7.5,1.0,0.9242617008597881
2,15.251734812434155,14.999497929422272,0.2431189342822163,0.7538233382136392,0.927323464175552,7.5,1.0,0.9242617008597881
3,15.251163853671406,14.999149900892029,0.3071550159307972,0.7531597390756687,0.9220043406662423,7.5,1.0,0.9242617008597881
4,15.25044590667218,14.998707891250032,0.36673463682365187,0.7523484443004524,0.9156551944653211,7.5,1.0,0.9242617008597881
5,15.249583625894001,14.998173026542897,0.4222014692501855,0.7513857272420497,0.9387832973978751,7.6,1.0,0.9377466387228404
6,15.24857958925295,14.9975464189857,0.4739292336589084,0.7481788942625147,0.9303533381469343,7.6,1.0,0.9377466387228404
7,15.247436303136377,14.996829167137752,0.5222672692910751,0.7417813292057435,0.9512050937399732,7.7,1.0,0.9707210289597485
8,15.246156207274908,14.99602235607584,0.5675276876627775,0.7350547466465754,0.9701021377193627,7.8,1.0,0.9812405522936314
9,15.244741678902903,14.995127057565,0.609986032167829,0.728055096274364,0.9588524851102667,7.8,1.0,0.9812405522936314
10,15.24319503659309,14.994144330226872,0.6498852644369801,0.7208320715254006,0.9469574733190286,7.8,1.0,0.9812405522936314
11,15.241518544010841,14.993075219705712,0.6874383656100127,0.7134298173654531,0.9344812612810711,7.8,1.0,0.9812405522936314
12,15.239714413415712,14.991920758832096,0.7228321455946066,0.7058875536786469,0.9214843126919431,7.8,1.0,0.9812405522936314
13,15.23778480894769,14.990681967784365,0.7562306673685586,0.6982401250460613,0.9372566743656674,7.9,1.0,1.0091272322811802
14,15.235731849373241,14.98935985424789,0.7877784314961385,0.6905184861830873,0.9230198709785918,7.9,1.0,1.0091272322811802
15,15.233557609176577,14.987955413572157,0.8176038832935981,0.6827501310233869,0.9084111427732123,7.9,1.0,1.0091272322811802
16,15.231264121113446,14.98646962892574,0.8458205959219762,0.6749594723527845,0.8934802331452864,7.9,1.0,1.0091272322811802
17,15.228853378952255,14.984903471449192,0.8725288838396631,0.6671681779818988,0.9360802276481013,8.1,1.0,1.064901194258736
18,15.226327339700834,14.983257900405897,0.8978177755894234,0.6593954686455786,0.9200718249380567,8.1,1.0,1.064901194258736
19,15.22368792395044,14.981533863330931,0.9217679764221207,0.6516583821454026,0.9322118938322612,8.2,1.0,1.0748989348370992
20,15.220937018005637,14.979732296177923,0.9444511872182293,0.6439720076959176,0.9152326081613058,8.2,1.0,1.0748989348370992
21,15.218076474618035,14.977854123464041,0.96593361314289,0.6363496938997601,0.9260963661036085,8.3,1.0,1.0905813224127894
22,15.215108114378094,14.975900258413,0.986275410799923,0.6288032333623884,0.9085457118634869,8.3,1.0,1.0905813224127894
23,15.212033726972232,14.97387160309627,1.0055301192751849,0.6213430266173142,0.8909100483333395,8.3,1.0,1.0905813224127894
24,15.208855073220505,14.971769048572387,1.0237451961550774,0.6139782276983943,0.8732246612855414,8.3,1.0,1.0905813224127894
25,15.205573887280664,14.969593475024489,1.0409630175669402,0.6067168734166741,0.8555230067990096,8.3,1.0,1.0905813224127894
26,15.202191878774917,14.967345751896067,1.0572216593496377,0.5995659981500397,0.8378367809402647,8.3,1.0,1.0905813224127894
27,15.19871073483038,14.965026738025,1.0725556008716184,0.5925317357449691,0.8201959788801275,8.3,1.0,1.0905813224127894
28,15.195132122051172,14.962637281775852,1.0869963788153079,0.5856194099523516,0.8314119810073541,8.4,1.0,1.186180310664108
29,15.191457688047203,14.96017822117055,1.1005734534893046,0.5788336146657108,0.8419336767283593,8.5,1.0,1.186736738633679
30,15.187689062432721,14.95765038401736,1.113315562954017,0.5721782851233871,0.8516047799686621,8.6,1.0,1.2042744782031143
31,15.183827858313355,14.955054588038319,1.125256136284151,0.5656567611242347,0.8604950997975717,8.7,1.0,1.2357799189737626
32,15.17987567034334,14.952391640995017,1.136431145110882,0.5592718431038204,0.8411267307410719,8.7,1.0,1.2357799189737626
33,15.175834071988143,14.94966234081285,1.146881220577563,0.5530258418914191,0.821967431339603,8.7,1.0,1.2357799189737626
34,15.17170461570296,14.946867475703652,1.1566501470293704,0.5469206227770024,0.8306075230781704,8.8,1.0,1.248781719024139
35,15.167488834643985,14.944007824286793,1.1657813056086002,0.5409576445405063,0.8113503034742522,8.8,1.0,1.248781719024139
36,15.16318824089451,14.941084155708728,1.1743196401747156,0.5351379941339921,0.8458982751341088,9.0,1.0,1.2991464758121587
37,15.158804324212326,14.938097229761027,1.1823087351655728,0.5294624175960905,0.8526713762681224,9.1,1.0,1.329874309035281
38,15.154338550958162,14.935047796996907,1.1897856497592572,0.5239313477371595,0.858372357285676,9.2,1.0,1.340862844360778
39,15.149792360007192,14.931936598846223,1.1967795025895707,0.5185449293692668,0.8636898600338453,9.3,1.0,1.3497541164227842
40,15.145167159400662,14.928764367729011,1.2033126859875998,0.5133030424435411,0.843427481130934,9.3,1.0,1.3497541164227842
41,15.14046432476203,14.925531827167477,1.209403193001402,0.5082053230819494,0.8485190017628856,9.4,1.0,1.3546872187355945
42,15.135685200020296,14.922239691896536,1.2150662703391746,0.5032511827865362,0.8283048755724519,9.4,1.0,1.3546872187355945
43,15.13083109705497,14.918888667972835,1.2203187597110694,0.49843982613100607,0.8334456867335993,9.5,1.0,1.3637507591561768
44,15.125903297504092,14.915479452882353,1.2251797409844456,0.49377026718052686,0.8382630277199657,9.6,1.0,1.3730168309698865
45,15.120903050861315,14.91201273564656,1.229674280601614,0.48924134485559756,0.8178692807680337,9.6,1.0,1.3730168309698865
46,15.115831574338065,14.90848919692716,1.2338310026883081,0.48485173740950077,0.7978390856187879,9.6,1.0,1.3730168309698865
47,15.110690056265671,14.904909509129414,1.2376784661638418,0.4805999764425282,0.8026725992278204,9.7,1.0,1.3742110267704981
48,15.10547966002039,14.901274336504118,1.241246101692332,0.47648446245352327,0.8074061397141814,9.8,1.0,1.3773830298701162
49,15.100201527249803,14.897584335248222,1.2445652733373718,0.4725034776846982,0.8113906432480786,9.9,1.0,1.379135496729333
50,15.094856778126843,14.89384015360421,1.2476679865621174,0.4686551978110177,0.7906492981348917,9.9,1.0,1.379135496729333
51,15.089446512018123,14.890042431958161,1.2505883753674598,0.46493770318041805,0.7703365563343179,9.9,1.0,1.379135496729333
52,15.083971811463595,14.88619180293661,1.2533562668576912,0.46134898965724,0.7504512368589117,9.9,1.0,1.379135496729333
53,15.07843374641792,14.882288891502176,1.255995894858882,0.4578869791219978,0.7309911866963643,9.9,1.0,1.379135496729333
54,15.072833378148369,14.878334315048042,1.2585260392236437,0.45454952960486555,0.711953497604245,9.9,1.0,1.379135496729333
55,15.067171762766785,14.874328683491283,1.2609602413430323,0.4513344449966891,0.718591339315026,10.0,1.0,1.38543136248883
56,15.061449954154828,14.87027259936511,1.2633072804541547,0.4482394841856622,0.7243816425286231,10.1,1.0,1.4063595892793364
57,15.055669000650468,14.866166657910059,1.2655772158288037,0.44526236986948825,0.7541294837796,10.3,1.0,1.6515466956658138
58,15.049829942359091,14.862011447164047,1.2677832847317645,0.4424008181112061,0.7350562253654117,10.3,1.0,1.6515466956658138
59,15.043933812243646,14.857807548051417,1.2699345438097311,0.43965249764578485,0.7163969859860919,10.3,1.0,1.6515466956658138
60,15.03798163861526,14.853555534470848,1.2720347938344552,0.4370149764090452,0.6981468465542604,10.3,1.0,1.6515466956658138
61,15.031974448003945,14.849255973382256,1.274082855871572,0.43448574237315774,0.6803008359448486,10.3,1.0,1.6515466956658138
62,15.025913267494492,14.844909424892675,1.2760732293525725,0.4320622218115282,0.6873560465812356,10.4,1.0,1.687227888944711
63,15.019799126141057,14.840516442341174,1.277997070711629,0.4297417940556217,0.6696488948221647,10.4,1.0,1.687227888944711
64,15.013633051181312,14.836077572382774,1.2798465806441546,0.4275218038707338,0.6768604067522491,10.5,1.0,1.6936301570572334
65,15.00741606807291,14.831593355071435,1.2816125692953333,0.42539957286507873,0.6592324333560885,10.5,1.0,1.6936301570572334
66,15.00114919705741,14.827064323942075,1.2832884843385486,0.42337240892526223,0.6899541593178288,10.7,1.0,1.9670060647813958
67,14.994833450489011,14.82249100609158,1.2848681234122048,0.42143767033408075,0.6959602455311247,10.8,1.0,2.014261196899136
68,14.988469830149151,14.817873922258913,1.2863453573693227,0.41959284248958356,0.6786818681414407,10.8,1.0,2.014261196899136
69,14.982059325846773,14.813213586904169,1.2877151642237978,0.4178355321149857,0.7077386443601856,11.0,1.0,2.1217815181176056
70,14.975602914728436,14.808510508286684,1.288973525898087,0.416163461284521,0.7127442970265315,11.1,1.0,2.2570928142723266
71,14.969101553829347,14.803765188542178,1.2901235639947868,0.4145744114828982,0.695243831980709,11.1,1.0,2.2570928142723266
72,14.962556180119297,14.798978123758845,1.2911676222059465,0.41306613120421315,0.7009612674061125,11.2,1.0,2.338344042811907
73,14.955967713387292,14.794149804052502,1.2921057269286522,0.41163633879718337,0.7056904198337152,11.3,1.0,2.3607816750552133
74,14.949337053593107,14.78928071364071,1.2929418654881402,0.4102827240313503,0.7102413829379207,11.4,1.0,2.3848434531104923
75,14.94266507703619,14.78437133091597,1.2936855950533328,0.4090029470698844,0.6925463546998386,11.4,1.0,2.3848434531104923
76,14.935952634583327,14.779422128517886,1.2943493078665553,0.4077946361503995,0.6752200299944371,11.4,1.0,2.3848434531104923
77,14.929200554938216,14.774433573404375,1.2949428490489425,0.4066553844163289,0.6582584701387689,11.4,1.0,2.3848434531104923
78,14.92240964858847,14.76940612692189,1.295472793482948,0.4055827455299092,0.6640072067710382,11.5,1.0,2.4000193145392132
79,14.915580711230916,14.764340244874733,1.2959431999361162,0.40457422833679146,0.6690639284009617,11.6,1.0,2.4335044117310174
80,14.908714522845088,14.759236377593496,1.2963626430919601,0.40362729100935263,0.6519655161493951,11.6,1.0,2.4335044117310174
81,14.901811845165815,14.754094970002612,1.2967432116916688,0.40273933612028856,0.6352427171954147,11.6,1.0,2.4335044117310174
82,14.894873425703892,14.748916461687013,1.2970931259951821,0.4019077073072787,0.6412244238493382,11.7,1.0,2.5942624180640155
83,14.887900002273366,14.743701286957974,1.297416369672768,0.40112968592631754,0.6249582121619855,11.7,1.0,2.5942624180640155
84,14.880892305177534,14.738449874918103,1.2977132005064878,0.40040248770756726,0.6309218495109784,11.8,1.0,2.611060347016739
85,14.873851058649606,14.733162649525614,1.2979820276485174,0.39972325959042215,0.6365536921134097,11.9,1.0,2.633722679987212
86,14.8667769783364,14.727840029657756,1.2982242374338804,0.39908907721438297,0.6414430643309985,12.0,1.0,2.644133633174315
87,14.859670767908145,14.72248242917354,1.2984452905481503,0.3984969443460352,0.6462119316713619,12.1,1.0,2.7497034490105796
88,14.852533118052033,14.717090256975673,1.2986531444798746,0.3979437726162249,0.6502786875259677,12.2,1.0,2.77696399207018
89,14.84536470630097,14.711663917071665,1.2988545460261993,0.39742611795239974,0.6334324069329993,12.2,1.0,2.77696399207018
90,14.838166199169027,14.706203808634228,1.2990552656937362,0.3969401452021149,0.6169589869425672,12.2,1.0,2.77696399207018
91,14.830938258606258,14.700710326060893,1.2992555453995407,0.39648167949716734,0.6221013038073067,12.3,1.0,2.886409914370531
92,14.823681547562519,14.69518385903292,1.299450870181989,0.39604625395317666,0.6059522238821459,12.3,1.0,2.886409914370531
93,14.816396732682861,14.689624792573577,1.2996346817980435,0.3956291548424501,0.6518108410036306,12.6,1.0,3.0246210398348503
94,14.809084482656278,14.684033507105772,1.2998030612684524,0.395225465124167,0.6549783396991496,12.7,1.0,3.329085415916053
95,14.801745457849895,14.678410378509039,1.2999638792971537,0.39483010756790604,0.637924630761976,12.7,1.0,3.329085415916053
96,14.794380313650105,14.67275577817586,1.3001203842421496,0.394437888716465,0.6212307658016565,12.7,1.0,3.329085415916053
97,14.786989706680984,14.667070073067286,1.3002708217515724,0.3940435421231336,0.6048926442486949,12.7,1.0,3.329085415916053
98,14.779574300864429,14.661353625767951,1.300410208638579,0.3936417716945291,0.6090154205628296,12.8,1.0,3.458235375362796
99,14.772134769579967,14.655606794540509,1.3005381017005933,0.3932275119363714,0.5927998697005084,12.8,1.0,3.458235375362796
100,14.764671795427665,14.649829933379541,1.3006746545168724,0.39279628698979824,0.5769306208632785,12.8,1.0,3.458235375362796
101,14.75718607496538,14.644023392064886,1.3009140443049747,0.3923441397540135,0.5614054031657769,12.8,1.0,3.458235375362796
102,14.749678322954091,14.638187516214478,1.3015857582208663,0.3918675677498635,0.5670664948668858,12.9,1.0,3.4991798995211756
103,14.742149276022758,14.632322647336698,1.3028553268232423,0.39136347425444373,0.5517004063134101,12.9,1.0,3.4991798995211756
