step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
0,15.313787231660644,15.075281194442713,0.09003070267469364,0.7601613813671724,4.780848787368915,0.0,0.0,0.0,1.0447608791364187,8.1,1.0,1.303721215740827
1,15.313470969036379,15.075105193353199,0.16894171400365204,0.7587561424194676,4.781651319002682,0.0,0.0,0.0,1.0419010429324018,8.1,1.0,1.303721215740827
2,15.312945888808276,15.074783947708251,0.24603170854235806,0.7567830907046642,4.782885238072052,0.0,0.0,0.0,1.0377114695992702,8.1,1.0,1.303721215740827
3,15.312215635896601,15.074319198518088,0.31805192028893653,0.7542956335064929,4.784541014765024,0.0,0.0,0.0,1.059089953760841,8.2,1.0,1.3677367696127654
4,15.311283738344645,15.073712665322986,0.3849642566358426,0.7513419663123646,4.7866066844049255,0.0,0.0,0.0,1.052419640333384,8.2,1.0,1.3677367696127654
5,15.310153615129597,15.072966046468446,0.4471026397966142,0.7479657104011896,4.789068276704915,0.0,0.0,0.0,1.044714758482432,8.2,1.0,1.3677367696127654
6,15.308828583779558,15.072081019376203,0.504848369344798,0.7442064831869727,4.791910175915766,0.0,0.0,0.0,1.0360699110276603,8.2,1.0,1.3677367696127654
7,15.307311867565748,15.071059240811183,0.5585637719899817,0.7401004038159781,4.795115423269928,0.0,0.0,0.0,1.0265738647407379,8.2,1.0,1.3677367696127654
8,15.305606602241445,15.069902347144552,0.6085773205104014,0.7356805378409504,4.798665971438905,0.0,0.0,0.0,1.0426095447845232,8.3,1.0,1.3712843005410105
9,15.303715842297601,15.06861195461294,0.6551837628631925,0.7309772854298552,4.802543025182315,0.0,0.0,0.0,1.0312473109902842,8.3,1.0,1.3712843005410105
10,15.301642566790047,15.06718965957393,0.6986472514959048,0.7260187177918707,4.806727371955463,0.0,0.0,0.0,1.0192374354012335,8.3,1.0,1.3712843005410105
11,15.299389684819241,15.06563703875793,0.7392037917361872,0.7208308664837251,4.811199545276899,0.0,0.0,0.0,1.0066508052387348,8.3,1.0,1.3712843005410105
12,15.296960040649381,15.063955649516531,0.7770649816347694,0.7154379701374843,4.815939956803961,0.0,0.0,0.0,0.993553842415251,8.3,1.0,1.3712843005410105
13,15.294356418492498,15.062147030067388,0.8124214202631531,0.7098626829899666,4.820929001849254,0.0,0.0,0.0,0.980008712937473,8.3,1.0,1.3712843005410105
14,15.291581546980268,15.060212699735763,0.8454456927738017,0.7041262493839084,4.826147142547159,0.0,0.0,0.0,0.9928869927393307,8.4,1.0,1.396059103844141
15,15.288638103067118,15.058154159192782,0.8762951755328163,0.6982486481894399,4.8315749724248604,0.0,0.0,0.0,0.9781362816286935,8.4,1.0,1.396059103844141
16,15.285528713394324,15.055972890690473,0.9051161903107967,0.6922487108679541,4.837193265750083,0.0,0.0,0.0,0.9892667655315726,8.5,1.0,1.420801077237735
17,15.282255956797485,15.05367035829369,0.9320453183228044,0.6861442166705854,4.842983014917161,0.0,0.0,0.0,0.9991297538907309,8.6,1.0,1.425353276685803
18,15.27882236630027,15.051248008108871,0.9572133578990156,0.6799519676296395,4.848925460702753,0.0,0.0,0.0,1.008211985888775,8.7,1.0,1.4863248961933948
19,15.27523043230365,15.048707268509826,0.9807466774419182,0.6736878449223761,4.8550021204674,0.0,0.0,0.0,1.0164960478859428,8.8,1.0,1.5115514621531883
