step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
0,14.951049818200033,14.951049818200033,14.668980649782238,0.10863884065397982,0.996515654345824,0.10878351059513018,0.1713766200052415,0.03135059018201098,0.7545391324746566,4.7794302429654705,1.8431460199963232,0.0,0.0,0.0,7.0,1.4902148893975657,86.6812369946118,0.9334550615698703,0.011378165335940254,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
1,14.950738312262715,14.950738312262715,14.668824927731984,0.1786496479086408,0.9918473618585086,0.17882603283417953,0.27620671498018073,0.05396083109812529,0.7541885237294672,4.7776571294679036,1.845800888915757,0.0,0.0,0.0,7.0,1.4931460199963231,73.05238386419012,0.9308031135807256,0.030452962147289597,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
2,14.950228601538987,14.950228601538987,14.668531966507723,0.24775077432587658,0.9868016335116007,0.2481288847379927,0.3962392080408032,0.08154093102035576,0.7537595567217175,4.775241821416137,1.8482032201830294,0.0,0.0,0.0,7.0,1.495800888915757,62.01604563267881,0.9270512718677251,0.057379542341828085,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
3,14.949524391163902,14.949524391163902,14.668103377066226,0.31278768632875975,0.9829243360573778,0.3135475981362747,0.513125914719581,0.10832085068075059,0.7532406164799045,4.77219074485316,1.850374016275306,0.0,0.0,0.0,7.0,1.4982032201830293,53.00055346904257,0.9222892460268581,0.09161100078101929,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
4,14.948629259244012,14.948629259244012,14.667540748098327,0.37321317384993385,0.9797247014571517,0.374544585897893,0.6196329847917071,0.13390374183517278,0.7526231232928012,4.768510744732363,1.8523319444564592,0.0,0.0,0.0,7.0,1.5003740162753059,45.57524404408373,0.9166029628644908,0.13282213263775483,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
5,14.947546665322529,14.947546665322529,14.666845646648065,0.42921784728214263,0.9769012851908094,0.43127707243564223,0.7167134597955378,0.1581473449298259,0.7519009900078729,4.764209015825134,1.8540936662709542,0.0,0.0,0.0,7.0,1.5023319444564591,39.41278144391795,0.9100743148170468,0.18045147891864693,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
6,14.946279958252228,14.946279958252228,14.666019618692658,0.48111838127701745,0.9742927832600149,0.4840409620176097,0.8052104151675911,0.1810451640209415,0.7510701710869269,4.7592930481628,1.8556741191860886,0.0,0.0,0.0,7.0,1.504093666270954,34.26220697181877,0.9330388829922592,0.23405636085938736,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
7,14.94483243270202,14.94483243270202,14.665064250577759,0.5292412727484901,0.9718117688799314,0.5331479428356689,0.8858486681880574,0.20263844189470248,0.7501282893662913,4.753770650727312,1.857086757876087,0.0,0.0,0.0,8.0,1.5056741191860885,29.92777360271012,0.9245194145243586,0.29322341194973733,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
8,14.943207413613584,14.943207413613584,14.663981258908304,0.573891363874429,0.9694110012507284,0.5791017546057926,0.9592980189742983,0.2224305708409588,0.7490744401075862,4.747650020765421,1.8583437614474114,0.0,0.0,0.0,9.0,1.507086757876087,26.25535508754452,0.9153367481878993,0.3576284817738443,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
9,14.941408161879986,14.941408161879986,14.662772371817553,0.6153575088062719,0.9670570168908075,0.6229207139251932,1.0261939937385751,0.23856530508496504,0.7479089885295648,4.740939592618106,1.859456211912109,0.0,0.0,0.0,9.0,1.5083437614474113,23.135278102581662,0.9055606444052746,0.4269895103979908,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
10,14.939437830282452,14.939437830282452,14.661439272879024,0.6539094819035962,0.9647256127615572,0.6639558296222923,1.0871030327533033,0.2534542007097588,0.7466333363971805,4.733647963162421,1.8604342484351086,0.0,0.0,0.0,9.0,1.5094562119121089,20.476430254479567,0.9247873274998932,0.5009788139531743,-1.0,-1.0,7.8,1.0,0.9100022308689533,1.0
