step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
0,14.951042020683195,14.951042020683195,14.668972895655237,0.10851029779196344,0.9962982546684271,0.1086074040722363,0.1713766200052415,0.03156796063549318,0.7545391324746566,4.779419203684574,4.3091107014486685,0.0,0.0,0.0,0.0,3.958291781388819,86.12258908856785,0.9334572910784574,0.0,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
1,14.950715044825344,14.950715044825344,14.668801786293105,0.17822765475148317,0.9903974772246243,0.17845156059837491,0.27620671498018073,0.05391982392599444,0.7541885237294672,4.777624324225989,4.310680167243968,0.0,0.0,0.0,0.0,3.9591107014486684,72.62208645313021,0.9308097606144677,0.0,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
2,14.950182317491382,14.950182317491382,14.668485927206442,0.24712975639926182,0.9847115767418565,0.24762020617182517,0.3963981217129684,0.08120147719947068,0.7537595538757326,4.775176829717935,4.3129594599178445,0.0,0.0,0.0,0.0,3.9606801672439675,61.68989008263461,0.9270644026632922,0.0,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
3,14.949447669872615,14.949447669872615,14.668027053249583,0.3119849576992451,0.9804102602318714,0.3129305462303199,0.5134376447876425,0.10776855060954403,0.753240603694779,4.772083449265188,4.315908309200579,0.0,0.0,0.0,0.0,3.9629594599178444,52.75966625652084,0.9223107466255919,0.0,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
4,14.948514806240832,14.948514806240832,14.66742687789091,0.37222678098348294,0.9768766652930203,0.3738354342823673,0.6201407693050791,0.13322225183802558,0.7526230888634653,4.768351330134249,4.319486979080319,0.0,0.0,0.0,0.0,3.965908309200579,45.40473417196184,0.9166344977083648,0.0,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
5,14.947387312202675,14.947387312202675,14.66668709348865,0.42804539984833034,0.9737633227133212,0.4304912823601786,0.7174573263349047,0.15740594389023468,0.7519009179613368,4.763987970364893,4.3236563356242605,0.0,0.0,0.0,0.0,3.9694869790803193,39.300755161613196,0.910117298767414,0.0,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
6,14.94606866238197,14.94606866238197,14.665809371562464,0.4797583084240631,0.9708889616477616,0.4831989492021004,0.8062277074950301,0.18028979849461407,0.7510700419774468,4.759001165428583,4.32837789660771,0.0,0.0,0.0,0.0,3.9736563356242605,34.199043575828036,0.9330946071158828,0.0,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
7,14.94456222754801,14.94456222754801,14.664795363060948,0.5276936089504276,0.9681531255102367,0.5322985574355827,0.8871979655629848,0.20183906309882138,0.7501280812796177,4.753398966840554,4.333613864195052,0.0,0.0,0.0,0.0,3.9783778966077104,29.90736577026061,0.9245887518126367,0.0,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
8,14.942871281185711,14.942871281185711,14.663646698625172,0.5721644926892828,0.9654965240894079,0.5783981834516914,0.9610334538253725,0.2213059182989591,0.7490741347877045,4.747189650935593,4.33932714295349,0.0,0.0,0.0,0.0,3.983613864195052,26.278492385366224,0.9154202070818134,0.0,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
9,14.940999005616785,14.940999005616785,14.66236498884832,0.6134620515542444,0.9628820824315866,0.6221226027194363,1.0283304263927702,0.23785735671161265,0.7479085837709415,4.740381696270949,4.345481350292514,0.0,0.0,0.0,0.0,3.98932714295349,23.195707007480234,0.9056584597817201,0.0,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
10,14.938948497720583,14.938948497720583,14.660951824531594,0.6518536871657948,0.9602853372583184,0.6631717194062167,1.089625636840216,0.25298617133237483,0.7466328570143648,4.732983768329736,4.352040820201077,0.0,0.0,0.0,0.0,3.907022195799114,20.565000919680518,0.9249798713108305,0.0,-1.0,-1.0,7.8,1.0,0.9100022308689533,1.0
11,14.93672277399163,14.93672277399163,14.659408776936397,0.6875850629698839,0.9576895054388647,0.7016556364675084,1.1454042382793368,0.2670402469408965,0.7452492350762628,4.725004710374039,4.358970600198005,0.0,0.0,0.0,0.0,3.7383876824711844,18.311778488232072,0.8833532136292741,0.0,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
12,14.934324774953268,14.934324774953268,14.65773739803294,0.7208823771408197,0.9550828150251474,0.7377472837123674,1.1961063670659555,0.2801467259213343,0.7437607008284992,4.716453538935436,4.366236445352147,0.0,0.0,0.0,0.0,3.5860021993943145,16.376753920646458,0.8713295997479025,0.0,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
13,14.931757370025561,14.931757370025561,14.655939220745333,0.7519501788350372,0.9524566327338939,0.7716075462567666,1.2421326599589575,0.2924082077238684,0.7421707936382594,4.707339442203351,4.373804813559771,0.0,0.0,0.0,0.0,3.448538377188622,14.71023047816349,0.858931634824855,0.0,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
14,14.929023361863276,14.929023361863276,14.65401575919323,0.7809698597999903,0.9498044264266311,0.8033808090362449,1.2838489251258838,0.30392004115902993,0.7404834800818161,4.6976717818044325,4.3816428603122555,0.0,0.0,0.0,0.0,3.3247878404327413,13.271456257791613,0.8462137699169107,0.0,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
15,14.926125490444056,14.926125490444056,14.651968508930128,0.8080987995392759,0.9471211261381045,0.8331962708709846,1.3215901274841348,0.31477277489066413,0.7387030401335413,4.687460097387602,4.3897184344444735,0.0,0.0,0.0,0.0,3.2136472225219745,12.02688203532318,0.86351072718075,0.0,-1.0,-1.0,7.8,1.0,0.8082771529265921,1.0
16,14.923066436074127,14.923066436074127,14.649798947178382,0.8334721972525652,0.9444028292682966,0.8611711567530878,1.3556638122343865,0.32505180291892016,0.736833902888874,4.676714113434807,4.398000076280112,0.0,0.0,0.0,0.0,3.1141060645269785,10.949372303633812,0.8498544964260045,0.0,-1.0,-1.0,7.8,1.0,0.8082771529265921,1.0
17,14.91984882196457,14.91984882196457,14.647508533060986,0.8572061322585643,0.9416465660316593,0.8874129587856979,1.3863530593419233,0.33483680666967613,0.7305429600844803,4.665443746560828,4.406457020595761,0.0,0.0,0.0,0.0,3.025236251409805,10.016400108214519,0.8662377946998467,0.0,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
18,14.916475217647946,14.916475217647946,14.645098707830217,0.8794005548174597,0.9388499996685016,0.9120197635603594,1.413993060840405,0.344202037370603,0.7226783824033024,4.653659112546641,4.415059205066146,0.0,0.0,0.0,1.0,2.9461830344549855,9.208350828439457,0.851538746254438,0.10316157823285703,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
19,14.912948141603925,14.912948141603925,14.642570895093165,0.9001469896690855,0.9360117668792494,0.9350846091043248,1.4494411278745662,0.3532185355430774,0.7148192377906686,4.641370534273418,4.423777282787773,0.0,0.0,0.0,2.0,2.8761571971013438,8.510084985903243,0.8367246316001037,0.20910083657900236,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
20,14.909270064036292,14.909270064036292,14.639926501034232,0.9195303409699784,0.9331311074657399,0.956694599045304,1.482190890515031,0.3619522330955855,0.7069853792969697,4.628588550195241,4.432582644591683,0.0,0.0,0.0,2.0,2.814427759355977,7.907434682851178,0.8218327007494348,0.3176537662936915,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
21,14.905443409785457,14.905443409785457,14.637166914634657,0.9376302354243379,0.9302075865040134,0.9769304349699379,1.5123519258567601,0.3704627019323286,0.6991948952733651,4.6153239229951195,4.44144744634631,0.0,0.0,0.0,4.0,2.7251167032673034,7.387552035536993,0.8371545735137801,0.4286649798674823,-1.0,-1.0,8.0,1.0,0.8137123548837306,1.0
22,14.901470561094802,14.901470561094802,14.634293507889131,0.9545230470740338,0.9272410658917241,0.9958673541454199,1.5400306225422082,0.3788032558809937,0.691464242732219,4.601587648108672,4.450344644806676,0.0,0.0,0.0,4.0,2.6195230861832415,6.939430921579803,0.7906894337796027,0.5419871270802402,-1.0,-1.0,7.9,1.0,0.7147106680315736,1.0
23,14.897353859464545,14.897353859464545,14.631307636019534,0.9702870167548365,0.9242322313315635,1.0135797614571664,1.565330438606467,0.3870219744779627,0.6838083652819335,4.5873909618414865,4.45924834552314,0.0,0.0,0.0,4.0,2.521065381496841,6.554673714290365,0.805283073423268,0.657480734052973,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
24,14.89309560830741,14.89309560830741,14.62821063768588,0.9850011586105755,0.9211823104505392,1.030140175638145,1.5883528672505753,0.3951598652056029,0.6762407977918045,4.572745348824431,4.468133949026608,0.0,0.0,0.0,4.0,2.4294576162468107,6.2247954646925585,0.7892204139880579,0.7751425250689769,-1.0,-1.0,8.0,1.0,0.8421563561585171,1.0
