step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
0,14.951042100183013,14.951042100183013,14.668972994020761,0.10852089829263808,0.9963076018742605,0.10861832825312015,0.1713766200052415,0.03157319310223129,0.7545391324746566,4.779419170409403,3.2574291216968216,0.0,0.0,0.0,1.0,2.9053064856312036,86.14026129874404,0.9334570667539976,0.01135946741274832,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
1,14.950715280788557,14.950715280788557,14.668802077944893,0.17824831303339597,0.990422259104125,0.17847248170701488,0.27620671498018073,0.053928368374242426,0.7541885237294672,4.77762422559611,3.2601798094698697,0.0,0.0,0.0,1.0,2.9074291216968216,72.63728281458614,0.9308091068551784,0.030393463478586836,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
2,14.950182783825486,14.950182783825486,14.668486502987516,0.2471590136437404,0.9847442484881836,0.24765014441420394,0.3963981217129684,0.08121084748957437,0.7537595538757326,4.775176635032179,3.2635153048414782,0.0,0.0,0.0,1.0,2.9101798094698696,61.70282176724057,0.9270631352044099,0.05719937544225723,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
3,14.949448436954995,14.949448436954995,14.668027999350398,0.3120221512824794,0.980447978896275,0.31296851132989484,0.5134376447866581,0.10777866127349424,0.7532406036871,4.772083129366427,3.267395265240996,0.0,0.0,0.0,1.0,2.913515304841478,52.7705273143571,0.9223087032271946,0.09129684372202483,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
4,14.948515940487562,14.948515940487562,14.667428275329321,0.3722712108926519,0.9769181607741741,0.3738804219971927,0.6201407692812128,0.13323329290097927,0.7526230888202224,4.768350857559911,3.2717818985214233,0.0,0.0,0.0,1.0,2.917395265240996,45.413706103112034,0.9166315389242023,0.13234780440961516,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
5,14.947388875677543,14.947388875677543,14.666689017641643,0.42809628385708604,0.9738078768489244,0.4305422774356936,0.7174573262104927,0.1574180940837347,0.7519009178191143,4.763987319483994,3.276639663304553,0.0,0.0,0.0,1.0,2.9217818985214232,39.30800988738627,0.9101133083409869,0.1798070158738198,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
6,14.946070712443339,14.946070712443339,14.665811891746841,0.4798148240406741,0.9709360799275523,0.4832549301524461,0.8062277070900826,0.18030317006791988,0.7510700416206468,4.75900031256671,3.2819350124224034,0.0,0.0,0.0,1.0,2.926639663304553,34.20474529099453,0.9330895583736409,0.2332225745973025,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
7,14.944564816531278,14.944564816531278,14.664798542160312,0.5277549093740956,0.9682024120415619,0.5323585021804815,0.8871979645395031,0.20185369311974902,0.7501280805235322,4.7533978903940435,3.2876361726238867,0.0,0.0,0.0,1.0,2.9319350124224033,29.91167202036359,0.9245825238661374,0.2921829682648468,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
8,14.94287445611946,14.94287445611946,14.663650592760732,0.5722297132236951,0.9655476264023987,0.5784610739545113,0.9610334516246644,0.22132175058635548,0.7490741333620866,4.747188331476015,3.293712954981454,0.0,0.0,0.0,1.0,2.9376361726238867,26.281554614743612,0.9154127530047068,0.35634904200858764,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
9,14.941002807970733,14.941002807970733,14.662369647091163,0.6135303124672926,0.9629346647224818,0.6221874351328524,1.0283304221675817,0.2378742491585524,0.747908581304509,4.740380116640806,3.3001365914709284,0.0,0.0,0.0,1.0,2.943712954981454,23.197670746023892,0.9056497540891126,0.42547349463393047,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
10,14.93895296318362,14.93895296318362,14.660957288654204,0.6519240956127195,0.9603390666166807,0.6632375083236217,1.0896256293831892,0.25300399620384856,0.7466328530206264,4.732981913730228,3.306879594046703,0.0,0.0,0.0,1.0,2.9501365914709283,20.56600573253315,0.9249700367762071,0.4991722683224141,-1.0,-1.0,7.8,1.0,0.9100022308689533,1.0
11,14.936727932278433,14.936727932278433,14.659415081201338,0.687656716139536,0.9577440441917192,0.7017214201268939,1.1454042259492365,0.2670588504273475,0.7452492289408797,4.725002568445589,3.3139156332156716,0.0,0.0,0.0,1.0,2.9568795940467028,18.311957772586165,0.883342034271911,0.577317390766449,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
12,14.934330649637932,14.934330649637932,14.657744569016678,0.7209543689228528,0.955137816227535,0.7378121297199317,1.1961063477130576,0.28016592645510474,0.7437606917983566,4.7164510998315805,3.3212194336582996,0.0,0.0,0.0,1.0,2.9639156332156715,16.376234607964285,0.8713172169150454,0.659848489823091,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
13,14.931763978400932,14.931763978400932,14.655947277195304,0.7520216119205061,0.9525117379231771,0.771670556475512,1.2421326308516465,0.29242780419635517,0.7421707808123733,4.707336698658531,3.3287666848948483,0.0,0.0,0.0,1.0,2.9712194336582995,14.709132690693945,0.8589180985047716,0.7463405516915281,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
14,14.929030714824723,14.929030714824723,14.654024711916321,0.781039862658582,0.94985926455069,0.8034411240477392,1.283848882879569,0.303939821920936,0.7404834624041604,4.697668729196098,3.3365339653336656,0.0,0.0,0.0,1.0,2.978766684894848,13.269892949287012,0.8461991452912461,0.8364837760923128,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
15,14.92613359239642,14.92613359239642,14.65197836071083,0.8081665442224567,0.9471753131987715,0.8332530741111611,1.3215900679942023,0.31479252637005395,0.738703016387873,4.687456733793068,3.344498678260564,0.0,0.0,0.0,1.0,2.9865339653336656,12.024958636345358,0.8634952944893851,0.9300532330913187,-1.0,-1.0,7.8,1.0,0.8082771529265921,1.0
16,14.923075284860705,14.923075284860705,14.649809692724938,0.8335369122513884,0.9444559683078178,0.8612236783629751,1.3556637306151103,0.32507131726425176,0.7368338716958686,4.676710439683115,3.352638998542214,0.0,0.0,0.0,1.0,2.994498678260564,10.947186388022496,0.8498381571156295,1.0268641558981126,-1.0,-1.0,7.8,1.0,0.8082771529265921,1.0
17,14.91985841095725,14.91985841095725,14.647520161620195,0.8572674025104646,0.9416984194248023,0.8874607643805955,1.3863529498733713,0.3348559566966261,0.7305410196546968,4.66543976534791,3.360933881747087,0.0,0.0,0.0,0.0,3.002638998542214,10.014189130514639,0.866220873417578,1.126757368329542,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
18,14.916485540255753,14.916485540255753,14.64511120877617,0.8794586320407805,0.9389006794872892,0.9120630536961631,1.4139923841891948,0.3442208552014461,0.7226764057342948,4.653654826482079,3.3693630847819627,0.0,0.0,0.0,0.0,3.010933881747087,9.206446401641038,0.8515211138388076,1.2294995239836664,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
19,14.912959191273714,14.912959191273714,14.642584257925767,0.9002021254691573,0.9360613679542832,0.935123572243253,1.4494402994338176,0.3532370654477595,0.7148172685413399,4.641365945884185,3.3779070194454697,0.0,0.0,0.0,0.0,3.0193630847819626,8.508456342301644,0.8367063702081484,1.3349700224330427,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
20,14.909281834253397,14.909281834253397,14.639940715377762,0.91958278166323,0.9331797105019284,0.956729411799841,1.4821898890118943,0.3619705332179264,0.7069834649961394,4.628583661929411,3.3865467321750273,0.0,0.0,0.0,0.0,3.0279070194454696,7.906053744983322,0.8218138869207452,1.4431825950577464,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
