step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
0,14.951043361209695,14.951043361209695,14.668974385946223,0.10864779856785707,0.9963910645843856,0.10875178431282953,0.1713766200052415,0.03164283146149951,0.7545391324746566,4.77941914802029,2.418255916221297,0.0,0.0,0.0,1.0,2.0667819949932595,86.3535813658684,0.9334541998186999,0.011372212703809097,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
1,14.950719048155255,14.950719048155255,14.668806235400913,0.17850162666094063,0.9907359274549149,0.17872764047410555,0.27620671498018073,0.05404478795527295,0.7541885237294672,4.777624155465137,2.420251919883115,0.0,0.0,0.0,1.0,2.068255916221297,72.82345345979078,0.9308006999486598,0.030436335426018268,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
2,14.95019028668629,14.95019028668629,14.66849478089455,0.24752437297770907,0.9851814320191036,0.24801772664014976,0.3963981217129684,0.08134206034197397,0.7537595538757326,4.775176488208113,2.422734491770659,0.0,0.0,0.0,1.0,2.070251919883115,61.86501465524742,0.9270467160784687,0.057283517621298755,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
3,14.949460887926193,14.949460887926193,14.668041733625687,0.3124936645739175,0.9809688495647291,0.31343990682803075,0.5134376447722329,0.10792313355771604,0.7532406036176196,4.772082872709941,2.4256706653633433,0.0,0.0,0.0,1.0,2.072734491770659,52.91142843949573,0.9222820048999593,0.09143452177907908,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
4,14.948534535328708,14.948534535328708,14.667448782610938,0.3728442549672573,0.977506427952185,0.3744473415301585,0.6201407689807027,0.1333931741891722,0.7526230884295665,4.768350453199261,2.429029700637571,0.0,0.0,0.0,1.0,2.075670665363343,45.53562415177031,0.916592502060621,0.1325509701403937,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
5,14.947414793025493,14.947414793025493,14.666717595052406,0.42876596635056974,0.9744558281769795,0.43119663885415865,0.7174573246606629,0.15759576467924136,0.7519009165358115,4.7639867243155205,2.4327828074311753,0.0,0.0,0.0,1.0,2.079029700637571,39.41295637704134,0.9100600817817289,0.180086452642585,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
6,14.946105113593589,14.946105113593589,14.665849816695546,0.48057624410754685,0.9716396892060776,0.48398880283263584,0.8062277020402113,0.18050055857571554,0.7510700384036187,4.758999477799225,2.436902906526017,0.0,0.0,0.0,1.0,2.082782807431175,34.2944943149383,0.9330213936477239,0.23358860673882492,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
7,14.944608845261797,14.944608845261797,14.66484707217802,0.5286032370395559,0.968959453372569,0.5331640783271849,0.8871979517172072,0.20207214215402822,0.7501280737082926,4.753396761135941,2.4413644228497495,0.0,0.0,0.0,1.0,2.0869029065260167,29.987805195929884,0.9244973091931828,0.29264532269457677,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
8,14.942929238552747,14.942929238552747,14.663710965369965,0.5731601746915607,0.966356831509364,0.579330639242023,0.9610334238818721,0.22156176653608273,0.7490741205084158,4.747186846363779,2.44614310622538,0.0,0.0,0.0,1.0,2.0913644228497494,26.345495251338,0.9153092650780253,0.35691428800777614,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
9,14.941069452470524,14.941069452470524,14.662443079706165,0.6145381296189484,0.9637953071159224,0.6231134253259388,1.028330368521734,0.23813543736877943,0.7479085590476583,4.740378207507406,2.4512158759435634,0.0,0.0,0.0,1.0,2.0961431062253797,23.250710027795396,0.9055269624620997,0.4261465621250296,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
10,14.939032560283101,14.939032560283101,14.661044978510416,0.6530044002933124,0.9612507415120529,0.6642124861175954,1.0896255339648675,0.25328618442415357,0.7466328169272138,4.732979505311876,2.4565606861263585,0.0,0.0,0.0,1.0,2.1012158759435633,20.609322990080432,0.9248289312586169,0.4999647583344409,-1.0,-1.0,7.8,1.0,0.9100022308689533,1.0
11,14.936821554637111,14.936821554637111,14.659518205312537,0.6888044613744457,0.9587065405514827,0.7027380828184219,1.145404066866374,0.26736159816311583,0.7452491733692247,4.724999578125273,2.4621564094070876,0.0,0.0,0.0,1.0,2.1065606861263584,18.346636283035142,0.8831781715082558,0.5782395208371547,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
12,14.934439352025077,14.934439352025077,14.65786428415823,0.7221642741313455,0.956151035211748,0.7388633241719883,1.1961060958405674,0.2804884392599691,0.7437606097622611,4.716447437417742,2.4679827368943403,0.0,0.0,0.0,1.0,2.1121564094070875,16.403273984278172,0.8711320178570096,0.6609228463726662,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
13,14.931888797703063,14.931888797703063,14.65608471991215,0.75328819082776,0.9535756451694196,0.7727492856731639,1.242132248552679,0.29276897044674777,0.7421706638468512,4.707332266197225,2.4740200927787153,0.0,0.0,0.0,1.0,2.1179827368943402,14.729458586859547,0.8587112295561279,0.7475620221961813,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
14,14.929172670075335,14.929172670075335,14.654180998554372,0.7823575699393179,0.9509738597625356,0.8045405502777919,1.283848322669965,0.30429827197159925,0.7404833004314885,4.697663420814987,2.4802495622062963,0.0,0.0,0.0,1.0,2.124020092778715,13.28436462098218,0.8459704271177344,0.8378553691469168,-1.0,-1.0,7.7,1.0,0.8052130562777923,1.0
15,14.926293684826229,14.926293684826229,14.652154587470534,0.809530020374847,0.9483406100280324,0.834366519670775,1.3215892711594739,0.3151667031564515,0.7387027975822605,4.687450435575534,2.486652831144507,0.0,0.0,0.0,1.0,2.1302495622062962,12.034374839844522,0.8632479275537384,0.9315803624954768,-1.0,-1.0,7.8,1.0,0.8082771529265921,1.0
16,14.92325449796698,14.92325449796698,14.650006935735844,0.834941245101521,0.9456719779258566,0.8623446243314159,1.355662625790367,0.3254595511064977,0.7368335823503643,4.67670302957092,2.493212137168718,0.0,0.0,0.0,1.0,2.1366528311445068,10.952289809798845,0.849569292905449,1.0285517177911898,-1.0,-1.0,7.8,1.0,0.8082771529265921,1.0
17,14.920057708450466,14.920057708450466,14.647739474393124,0.8587080158094411,0.9429649657037488,0.8885825626281327,1.3863514515980417,0.3352564778815707,0.7305066623611135,4.6654311140027795,2.499910230203241,0.0,0.0,0.0,1.0,2.143212137168718,10.015521794808683,0.8659346833242241,1.1286097102689698,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
18,14.916705861624132,14.916705861624132,14.64535361672507,0.8809310356550977,0.9402172024204569,0.9131786251038511,1.4139807697921645,0.34463181327761294,0.7226408680149156,4.653644799236412,2.5067303423191243,0.0,0.0,0.0,1.0,2.149910230203241,9.204397427513422,0.8512143344766671,1.2315203740305827,-1.0,-1.0,7.9,1.0,0.8117529063680707,1.0
