step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
0,14.95104534511088,14.95104534511088,14.668976639273668,0.10881338849582314,0.9965497849159144,0.10892476146321728,0.1713766200052415,0.03177665580425468,0.7545391324746566,4.779418778332347,1.9224221610120322,0.0,0.0,0.0,3.0,1.5706233536802432,86.61846934944067,0.9334503299735383,0.01138900538825921,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
1,14.95072496180797,14.95072496180797,14.66881295352465,0.17882986495223965,0.9912455622156444,0.17905096165761608,0.27620671498018073,0.054252750978974834,0.7541885237294672,4.777623044033407,1.9248142846252216,0.0,0.0,0.0,3.0,1.5724221610120321,73.05567608468267,0.9307893484118918,0.03049305905211177,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
2,14.950202037061947,14.950202037061947,14.668508132460115,0.24799369117307357,0.9858745872552899,0.2484787577462114,0.39639812153686704,0.08157707865799396,0.7537595522963624,4.7751742600146425,1.9277658225121233,0.0,0.0,0.0,3.0,1.5748142846252215,62.068047868774215,0.9270245343912862,0.0573931067710734,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
3,14.949480342423334,14.949480342423334,14.66806384360499,0.31309841101555763,0.9817851592809415,0.3140269604376436,0.5134376410820028,0.10818615433159802,0.7532405961236388,4.772079149239362,1.9312452807009546,0.0,0.0,0.0,3.0,1.5777658225121232,53.088313763192424,0.9222459116278223,0.09161486028121295,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
4,14.94856352120064,14.94856352120064,14.667481731559967,0.37357979031611305,0.9784213649695906,0.3751491770790834,0.6201407525672564,0.13368948632265873,0.7526230670726544,4.768344851965357,1.9352232427205132,0.0,0.0,0.0,3.0,1.5812452807009545,45.68905461990202,0.9165396846314252,0.1328186962869185,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
5,14.947455096918954,14.947455096918954,14.66676341847129,0.4296267279571951,0.9754576886770643,0.4320023530256183,0.7174572779581354,0.15793048313433178,0.7519008691474669,4.763978858450696,1.9396720861518997,0.0,0.0,0.0,3.0,1.585223242720513,39.54533952336036,0.9099879965237648,0.18045676398655056,-1.0,-1.0,7.6,1.0,0.905193610083483,1.0
6,14.946158481189482,14.946158481189482,14.665910504486021,0.48155637780899074,0.9727222180392275,0.48488781176326146,0.8062275968245884,0.1808777147183542,0.751069948181248,4.758988955706679,1.9445657391246245,0.0,0.0,0.0,3.0,1.5896720861518996,34.40799936474974,0.9329289625060724,0.23407598488406595,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
7,14.944676981010073,14.944676981010073,14.664924568193687,0.5296968252679374,0.9701190333537618,0.534146114910115,0.8871977469545506,0.20249457385295333,0.7501279189487453,4.75338318620322,1.9498794709093126,0.0,0.0,0.0,3.0,1.5945657391246244,30.084399238460115,0.9243816194144857,0.29326376654015746,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
8,14.943013805494639,14.943013805494639,14.663807167055179,0.5743612977890953,0.9675912373194347,0.5803855791712328,0.9610330636958748,0.22203185720830548,0.749073874455863,4.747169816735813,1.955589711830247,0.0,0.0,0.0,3.0,1.5998794709093125,26.42697169840178,0.9151685839926719,0.3576760540030298,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
9,14.941172072141697,14.941172072141697,14.66255983781954,0.6158408670593223,0.9651030944158929,0.6242318435852321,1.0283297802589018,0.23865403338483623,0.7479081898159625,4.740357315916628,1.9616738986001745,0.0,0.0,0.0,3.0,1.605589711830247,23.318710911187804,0.9053598063850933,0.4270649668318135,-1.0,-1.0,7.7,1.0,0.9055855417101022,1.0
